City,Country,Date,Latitude,Longitude,Cloudiness (%),Humidity (%),Max Temperature (F),Wind Speed
High Rock,BS,1586914829,26.62,-78.28,95,85,78.33,16.51
Awjilah,LY,1586914684,29.11,21.29,92,20,73.31,17.52
Codrington,AU,1586914666,-38.27,141.97,100,37,71.8,17.52
Mlonggo,ID,1586914829,-6.53,110.7,20,74,84.2,6.93
Aklavik,CA,1586914662,68.22,-135.01,75,64,35.6,8.05
Poum,NC,1586914694,-20.23,164.02,49,78,79.18,13.29
Cockburn Town,TC,1586914805,21.46,-71.14,0,81,78.76,19.01
Seoul,KR,1586914590,37.57,126.98,1,33,59.0,3.36
Yurimaguas,PE,1586914830,-5.9,-76.08,69,76,77.14,0.94
Panguna,PG,1586914830,-6.32,155.48,98,70,79.0,1.21
Praia,CV,1586914669,14.92,-23.51,66,77,69.8,18.34
Anūpgarh,IN,1586914831,29.19,73.21,97,17,86.14,6.2
Buraidah,SA,1586914831,26.33,43.98,40,77,60.8,13.87
Naze,JP,1586914654,28.37,129.48,75,59,66.2,3.36
Münster,DE,1586914649,51.96,7.63,92,86,39.0,1.12
Bukama,CD,1586914831,-9.2,25.85,99,78,69.75,1.57
Mahabalipuram,IN,1586914831,12.63,80.17,20,88,82.0,7.43
Hambantota,LK,1586914707,6.12,81.12,20,100,77.0,2.24
Ocampo,MX,1586914832,21.65,-101.5,55,10,66.67,9.15
Monrovia,LR,1586914832,6.3,-10.8,20,94,78.8,4.61
Hare Bay,CA,1586914832,48.85,-54.01,20,86,41.0,13.87
Sovetskiy,RU,1586914832,61.36,63.58,100,96,37.11,3.11
Udalguri,IN,1586914832,26.77,92.13,2,26,92.35,3.4
Bac Lieu,VN,1586914833,9.29,105.72,68,62,86.95,16.73
Ixtapa,MX,1586914676,20.7,-105.2,5,73,73.4,6.93
Abancay,PE,1586914833,-13.63,-72.88,82,35,56.84,2.82
Srednekolymsk,RU,1586914833,67.45,153.68,53,90,6.84,7.67
Sinnamary,GF,1586914663,5.38,-52.95,77,81,77.74,9.4
Eydhafushi,MV,1586914834,5.1,73.07,34,67,86.11,8.34
Linqing,CN,1586914834,36.85,115.71,19,38,74.44,15.88
Haimen,CN,1586914834,23.19,116.61,48,56,68.0,2.24
Morehead,US,1586914834,37.27,-87.18,1,51,42.8,3.31
Rosário Oeste,BR,1586914834,-14.84,-56.43,100,88,74.21,4.07
Saldanha,ZA,1586914706,-33.01,17.94,100,87,57.2,5.82
Acaraú,BR,1586914835,-2.89,-40.12,100,83,75.47,3.13
Akhtubinsk,RU,1586914835,48.28,46.17,54,91,44.37,15.17
Zhigansk,RU,1586914665,66.77,123.37,18,91,17.22,14.54
Whitehorse,CA,1586914835,60.72,-135.05,40,29,51.8,3.36
Sørland,NO,1586914836,67.67,12.69,52,73,39.09,19.95
Almeirim,BR,1586914583,-1.52,-52.58,100,98,70.93,1.66
Santa Marta,CO,1586914836,11.24,-74.2,4,72,80.35,15.23
Omsukchan,RU,1586914837,62.53,155.8,100,88,19.63,6.82
Kasongo-Lunda,CD,1586914837,-6.47,16.82,96,77,71.71,0.76
Byron Bay,AU,1586914747,-28.65,153.62,9,53,78.01,5.82
Hualahuises,MX,1586914837,24.88,-99.67,99,63,60.28,6.46
La Santisima Trinidad,BO,1586914675,-14.83,-64.9,84,92,66.15,3.8
Tazovsky,RU,1586914837,67.47,78.7,3,90,11.19,7.81
Saurimo,AO,1586914838,-9.66,20.39,100,70,66.31,1.25
Chemainus,CA,1586914838,48.92,-123.72,75,62,61.0,9.17
Abū Zabad,SD,1586914838,12.35,29.25,9,17,68.94,13.09
Halifax,CA,1586914662,44.65,-63.57,75,45,48.99,4.7
Salinópolis,BR,1586914839,-0.61,-47.36,100,86,75.27,5.88
Sorong,ID,1586914839,-0.88,131.25,64,61,88.2,5.46
Kuril'sk,RU,1586914839,45.23,147.88,98,94,30.83,13.94
Kiknur,RU,1586914839,57.3,47.2,96,86,41.63,7.9
Los Lunas,US,1586914839,34.81,-106.73,1,18,55.0,10.29
Bennington,US,1586914840,42.88,-73.2,90,28,44.6,4.7
Oriximiná,BR,1586914840,-1.77,-55.87,100,91,75.15,7.18
Lázaro Cárdenas,MX,1586914840,17.96,-102.2,100,78,73.29,2.71
Sidi Ali,DZ,1586914840,36.1,0.42,26,80,57.92,10.04
Mossamedes,AO,1586914686,-15.2,12.15,30,71,73.98,5.26
Blacklick Estates,US,1586914840,39.91,-82.86,20,40,39.99,6.93
Vuktyl,RU,1586914841,63.86,57.31,28,92,31.87,5.12
Kano,NG,1586914841,12.0,8.52,0,26,82.4,2.24
Grenfell,AU,1586914841,-33.9,148.17,54,32,74.68,7.11
Biak,ID,1586914660,-0.91,122.88,77,63,84.45,1.88
Puerto Lempira,HN,1586914842,15.27,-83.77,0,81,78.3,12.77
Kutum,SD,1586914842,14.2,24.67,55,21,58.03,6.76
Novy Urengoy,RU,1586914842,66.08,76.63,100,98,23.04,9.98
Berlevåg,NO,1586914665,70.86,29.09,97,86,35.49,12.21
Kathu,TH,1586914843,7.92,98.33,20,78,82.4,4.7
Fallon,US,1586914729,39.47,-118.78,20,9,62.6,6.93
Iqaluit,CA,1586914673,63.75,-68.51,75,66,14.0,10.29
Maningrida,AU,1586914704,-12.07,134.27,99,65,87.24,12.24
Abrau-Dyurso,RU,1586914843,44.69,37.59,100,50,57.2,13.42
Vallenar,CL,1586914844,-28.57,-70.76,1,59,56.35,1.57
Bilibino,RU,1586914844,68.05,166.44,71,84,16.9,0.85
Saint-Joseph,RE,1586914705,-21.37,55.62,8,83,77.0,8.05
Nabire,ID,1586914699,-3.37,135.48,89,63,87.15,5.01
Urengoy,RU,1586914844,65.97,78.37,100,98,23.4,9.53
Iskateley,RU,1586914845,67.68,53.15,79,98,31.14,13.04
Havre-St-Pierre,CA,1586914845,50.23,-63.6,1,69,33.8,18.34
Haines Junction,CA,1586914845,60.75,-137.51,73,63,37.38,4.5
Tergnier,FR,1586914845,49.66,3.3,4,79,37.4,9.17
Aswān,EG,1586914845,24.09,32.91,0,29,62.89,9.44
Linqiong,CN,1586914568,30.42,103.46,0,77,71.01,2.24
Äänekoski,FI,1586914846,62.69,25.82,90,100,27.0,2.24
Olafsvik,IS,1586914657,64.89,-23.71,100,78,37.2,26.15
Okha,RU,1586914616,53.57,142.95,100,94,30.97,11.27
Chekhov,RU,1586914846,55.14,37.47,100,78,35.6,2.24
Sabinas,MX,1586914846,27.85,-101.12,51,53,59.94,9.42
Praxédis Guerrero,MX,1586914847,31.37,-106.02,5,13,69.8,8.05
Nyurba,RU,1586914847,63.28,118.33,57,84,29.82,8.37
Callaway,US,1586914847,30.15,-85.57,75,94,73.99,4.7
Sakakah,SA,1586914847,29.97,40.21,75,63,60.8,3.36
Promyshlennovskiy,RU,1586914847,55.48,86.2,75,100,37.4,4.47
Roald,NO,1586914848,62.58,6.13,100,93,43.0,17.22
Bandarbeyla,SO,1586914684,9.49,50.81,73,73,81.3,3.0
Bubaque,GW,1586914848,11.28,-15.83,95,65,79.02,9.13
Yangi Marg`ilon,UZ,1586914848,40.43,71.72,90,87,53.6,4.7
Soyo,AO,1586914848,-6.13,12.37,87,89,79.43,4.79
Malanje,AO,1586914849,-9.54,16.34,100,70,65.28,1.68
Visby,SE,1586914849,57.64,18.3,100,80,43.0,12.75
Douglas,US,1586914648,41.3,-96.17,90,36,46.4,6.93
Krasnosel'kup,RU,1586914849,65.7,82.47,85,92,23.79,10.31
Broken Hill,AU,1586914849,-31.95,141.43,1,26,80.6,12.75
Camopi,GF,1586914850,3.17,-52.32,94,93,70.68,1.61
Deer Lake,CA,1586914850,49.17,-57.43,40,74,37.4,13.87
Sarakhs,IR,1586914850,36.54,61.16,89,93,48.2,0.87
Gushikawa,JP,1586914850,26.35,127.87,90,60,68.0,4.7
Thinadhoo,MV,1586914682,0.53,72.93,64,62,85.14,0.98
Ojinaga,MX,1586914851,29.57,-104.42,1,31,69.8,18.34
Goba,ET,1586914851,7.02,39.98,6,39,50.47,3.65
Kenora,CA,1586914851,49.82,-94.43,75,44,23.0,6.93
La Asuncion,VE,1586914852,11.03,-63.86,0,78,80.6,13.87
Anadyr,RU,1586914675,64.75,177.48,100,78,14.0,13.42
Kimbe,PG,1586914852,-5.55,150.14,36,72,86.4,3.04
Ust'-Ishim,RU,1586914852,57.69,71.17,0,70,40.64,5.12
Zhanakorgan,KZ,1586914852,43.91,67.25,0,40,50.27,11.52
Villa Carlos Paz,AR,1586914852,-31.42,-64.5,40,81,59.0,5.82
Jadu,LY,1586914853,31.95,12.03,100,36,68.05,2.66
Koygorodok,RU,1586914853,60.45,51.0,0,90,31.91,7.38
Viedma,AR,1586914710,-40.81,-63.0,36,73,54.36,8.77
Cabo San Lucas,MX,1586914853,22.89,-109.91,5,31,77.0,5.82
Rawson,AR,1586914658,-43.3,-65.1,88,60,58.53,13.06
Imeni Poliny Osipenko,RU,1586914854,52.42,136.49,41,51,45.63,14.2
Huarmey,PE,1586914854,-10.07,-78.15,6,73,74.08,6.49
Mirador,BR,1586914854,-6.37,-44.36,100,90,72.0,4.41
General Roca,AR,1586914854,-39.03,-67.58,97,72,60.8,12.59
Birjand,IR,1586914660,32.87,59.22,3,93,41.0,6.93
Safut,JO,1586914854,32.03,35.83,0,67,55.99,3.83
Vicuña,CL,1586914855,-30.03,-70.71,90,82,59.0,3.36
Bobcaygeon,CA,1586914855,44.55,-78.54,90,92,33.8,11.41
Abu Samrah,SY,1586914855,35.3,37.18,0,38,57.45,5.44
Kiryat Gat,IL,1586914855,31.61,34.76,75,82,62.6,5.82
Havøysund,NO,1586914674,71.0,24.66,94,88,32.0,17.22
Preobrazheniye,RU,1586914856,42.9,133.91,0,53,46.63,7.27
Mumford,GH,1586914856,5.26,-0.76,7,85,80.78,6.78
Fes,MA,1586914856,34.04,-5.0,40,87,57.2,11.41
Köflach,AT,1586914856,47.07,15.08,0,79,35.01,2.24
Yarmolyntsi,UA,1586914856,49.19,26.84,0,82,30.0,3.0
Ulaanbaatar,MN,1586914857,47.91,106.88,95,74,30.2,20.13
Asău,RO,1586914688,46.43,26.4,57,74,36.0,4.7
Manicoré,BR,1586914721,-5.81,-61.3,99,100,75.2,2.24
Kelvington,CA,1586914857,52.17,-103.53,15,89,8.4,3.13
Sabang,ID,1586914675,5.89,95.32,21,73,84.7,9.62
Gamba,GA,1586914702,-2.65,10.0,92,88,79.23,4.59
Lebyazh'ye,RU,1586914857,55.27,66.49,27,81,36.36,12.41
Eilat,IL,1586914858,29.56,34.95,0,39,66.2,4.7
Canora,CA,1586914858,51.63,-102.43,1,38,24.8,6.93
Jieshi,CN,1586914858,22.81,115.83,48,62,72.0,2.71
Ha Tinh,VN,1586914674,18.33,105.9,79,71,75.87,2.1
Chiredzi,ZW,1586914858,-21.05,31.67,0,68,66.61,3.98
Granja,BR,1586914858,-3.12,-40.83,98,92,72.36,3.09
Alugan,PH,1586914859,12.22,125.48,0,66,83.75,6.98
Constantine,DZ,1586914630,36.37,6.61,20,93,50.0,2.24
Puerto Escondido,MX,1586914859,15.85,-97.07,100,73,78.39,3.6
Sahaswān,IN,1586914859,28.08,78.75,100,25,89.31,6.22
Tsumeb,NA,1586914860,-19.23,17.72,63,30,69.15,5.44
Ostrovnoy,RU,1586914662,68.05,39.51,100,93,36.01,16.49
Mangan,IN,1586914568,27.52,88.53,5,18,81.19,3.38
Nagato,JP,1586914860,34.38,131.2,75,66,60.01,5.82
Zhenlai,CN,1586914861,45.85,123.3,99,65,55.0,4.0
Hirara,JP,1586914861,24.8,125.28,2,56,69.8,5.82
Marrakesh,MA,1586914861,31.63,-8.01,20,72,59.0,5.82
Kharp,RU,1586914861,66.8,65.81,100,91,33.22,5.95
Dvinskoy Bereznik,RU,1586914861,62.86,42.71,100,96,35.65,4.92
Charters Towers,AU,1586914862,-20.1,146.27,0,38,83.46,10.87
Ugoofaaru,MV,1586914862,5.67,73.0,45,67,85.84,9.44
Tsimmerbude,RU,1586914862,54.67,20.13,100,75,42.8,15.66
Mattawa,US,1586914862,46.74,-119.9,1,28,75.2,4.7
Cairns,AU,1586914862,-16.92,145.77,38,58,86.0,21.92
Zonguldak,TR,1586914863,41.25,31.83,100,76,48.52,7.45
Chesma,RU,1586914863,53.81,60.65,3,70,36.63,11.43
Fergus Falls,US,1586914863,46.28,-96.08,75,73,26.6,10.29
Chu,KZ,1586914863,43.6,73.76,100,60,48.49,8.9
Rūdbār,AF,1586914863,30.15,62.6,0,43,58.51,6.82
Findlay,US,1586914864,41.04,-83.65,20,47,37.4,6.93
Ulaangom,MN,1586914864,49.98,92.07,97,69,32.2,1.5
Saint-Pierre,RE,1586914713,-21.34,55.48,12,83,77.0,8.05
